AppID,Title,Rarest Achievement %,Completed
207610,The Walking Dead,13.2,False
1597720,Feed All Monsters,13.0,False
227200,Waking Mars,12.9,False
284750,Enigmatis: The Ghosts of Maple Creek,12.8,False
105000,A New Beginning - Final Cut,12.6,True
352520,The Silent Age,12.6,False
284810,Nightmares from the Deep 3: Davy Jones,12.5,False
661680,Growbot,12.5,False
558420,Stories Untold,12.5,False
368370,Her Story,12.5,True
1040070,Merchant of the Skies,12.3,False
488770,Her Majesty's SPIFFING,12.3,False
1599020,Tinykin,12.2,False
400660,Reverse Crawl,12.2,False
919220,Destiny or Fate,12.1,False
552590,The Sexy Brutale,12.1,False
909820,Songbird Symphony,12.1,False
221830,The Book of Unwritten Tales: The Critter Chronicles,12.0,False
94590,Puzzle Agent 2,11.8,False
1057750,The Suicide of Rachel Foster,11.8,False
628950,Nephise Begins,11.8,False
743390,DISTRAINT 2,11.8,False
501300,What Remains of Edith Finch,11.8,True
640890,Will Glow the Wisp,11.8,False
1440440,Sam & Max Save the World,11.8,False
555220,Detention,11.7,False
465760,Scrap Garden,11.7,False
1292940,Cube Escape Collection,11.7,True
284890,Left in the Dark: No One on Board,11.6,False
226960,Ironclad Tactics,11.6,True
1252830,A Juggler's Tale,11.6,False
1603410,Lost Nova,11.5,False
362680,Fran Bow,11.5,False
395170,DISTRAINT: Deluxe Edition,11.5,False
264710,Subnautica,11.4,False
1466640,Road 96,11.4,False
402390,Hyperdrive Massacre,11.4,False
726340,Alchemist's Castle,11.4,False
668210,Super Fancy Pants Adventure,11.4,False
255520,Viscera Cleanup Detail: Shadow Warrior,11.3,False
677160,We Were Here Too,11.3,False
560740,Shtriga: Summer Camp,11.2,False
1402120,9 Years of Shadows,11.2,False
1846170,Iron Lung,11.2,False
1220150,Blue Fire,11.2,False
635320,Last Day of June,11.2,False
1240210,There Is No Game: Wrong Dimension,11.1,True
1271400,Adios,11.1,True
1181400,Path of Giants,11.1,False
569810,LEAVES - The Return,11.0,False
862480,The Spiral Scouts,11.0,False
524910,Hidden Through Time,11.0,False
331870,AER Memories of Old,11.0,False
403290,Burly Men at Sea,10.8,False
290510,GNOG,10.8,True
600430,Ticket to Ride: First Journey,10.8,False
969760,Omno,10.7,True
1158220,Kraken Academy!!,10.7,False
795610,Gift of Parthax,10.6,False
254700,Resident Evil 4 (2005),10.6,False
252370,The Shivah,10.5,True
253330,Neverending Nightmares,10.5,False
648390,Marie's Room,10.4,False
600990,The Gardens Between,10.3,False
2296990,We Were Here Expeditions: The FriendShip,10.3,False
1506510,The Ramp,10.3,True
710610,Don't Sink,10.2,False
420530,OneShot,10.2,False
532840,CAYNE,10.2,False
755980,DEPLOYMENT,10.2,False
737520,Flynn: Son of Crimson,10.2,False
1112890,Calico,10.2,False
1378020,Beasts of Maravilla Island,10.1,False
409100,The Purring Quest,10.0,False
41010,Serious Sam HD: The Second Encounter,10.0,False
567090,8-Bit Bayonetta,9.9,False
934600,Mech Rage,9.9,False
315320,Skilltree Saga,9.9,False
854940,Ikenfell,9.8,False
980830,Spirit Hunter: Death Mark,9.7,False
316610,A Good Snowman Is Hard To Build,9.7,False
435400,Hidden Folks,9.7,False
1634150,Behind the Frame: The Finest Scenery,9.7,False
929010,Swag and Sorcery,9.6,False
246420,Kingdom Rush,9.6,False
301860,Submerged,9.5,False
660160,Field of Glory II,9.5,False
1531490,Harmony's Odyssey,9.5,False
1289310,Helltaker,9.4,False
956030,Creaks,9.4,False
569800,LEAVES - The Journey,9.4,False
350970,Planet of the Eyes,9.3,False
343710,KHOLAT,9.3,False
1162280,Eternal Hope,9.3,False
308600,Gene Shift Auto,9.3,False
322450,FRAMED Collection,9.2,False
461560,Mandagon,9.2,False
325520,Fire: Ungh’s Quest,9.2,False
1663250,Hyper Gunsport,9.2,False
765870,Leisure Suit Larry - Wet Dreams Don't Dry,9.2,False
320820,Toren,9.2,False
420060,Candle,9.2,False
440880,The Count Lucanor,9.1,False
284050,Sanitarium,9.1,False
717610,A Case of Distrust,9.1,False
492180,Haimrik,9.1,False
529440,Behold the Kickmen,9.1,False
1046790,Eternal Threads,9.1,False
1150950,Timelie,9.0,False
209230,Sherlock Holmes and The Hound of The Baskervilles,9.0,False
814380,Sekiro™: Shadows Die Twice,9.0,False
19200,Tank Universal,9.0,False
80330,The Blackwell Legacy,8.9,True
1106830,Rainbow Billy: The Curse of the Leviathan,8.9,False
258520,The Vanishing of Ethan Carter,8.9,True
1413350,Sokpop S09: Flipper Volcano,8.9,False
417860,Emily is Away,8.9,True
1245620,ELDEN RING,8.9,True
281820,Explodemon,8.9,False
859440,Mars or Die!,8.8,False
406970,The Uncertain: Last Quiet Day,8.7,False
1075200,TOHU,8.7,False
225080,Brothers - A Tale of Two Sons,8.6,False
319910,Trine 3: The Artifacts of Power,8.6,False
631770,Pixplode,8.6,False
537520,SYMMETRY,8.6,False
80360,Blackwell Deception,8.6,True
